Year;Rank;Destination;Orders;Quantity_of_SKUs
2023;1;IT;32;93
2023;2;ES;43;87
2023;3;CZ;10;72
2023;4;PT;25;67
2023;5;FR;24;53
2023;6;MT;17;52
2023;7;AT;20;49
2023;8;CY;11;42
2023;9;GR;19;40
2023;10;HU;9;38
2023;11;SE;12;36
2023;12;LU;10;30
2023;13;BG;7;28
2023;14;DE;14;24
2023;15;FI;9;23
2023;16;IE;7;22
2023;17;BE;13;20
2023;18;EE;7;18
2023;18;SK;10;18
2023;20;LV;7;14
2023;21;DK;7;13
2023;22;RO;5;12
2023;23;HR;7;10
2023;24;PL;6;9
2023;24;SI;2;9
2023;26;LT;6;8
2023;27;NL;1;1
2023;;Total for Year;340;888
2024;1;IT;136;523
2024;2;ES;180;500
2024;3;PT;147;449
2024;4;CY;76;278
2024;5;FR;78;271
2024;6;GR;58;166
2024;7;AT;43;162
2024;7;PL;52;162
2024;9;CZ;36;160
2024;10;MT;43;149
2024;11;SE;26;130
2024;12;BE;35;121
2024;13;DE;39;119
2024;13;HU;39;119
2024;15;HR;31;116
2024;16;NL;39;110
2024;17;DK;16;97
2024;18;BG;25;88
2024;19;SI;21;87
2024;20;LT;23;64
2024;21;IE;13;61
2024;21;LV;23;61
2024;21;SK;16;61
2024;24;LU;18;54
2024;25;RO;20;46
2024;26;FI;18;45
2024;27;EE;12;29
2024;;Total for Year;1263;4228
2025;1;ES;307;1048
2025;2;IT;182;724
2025;3;PT;205;625
2025;4;FR;105;367
2025;5;GR;92;337
2025;6;MT;57;297
2025;7;DE;65;291
2025;8;PL;51;261
2025;9;CY;76;241
2025;10;AT;53;206
2025;11;BG;43;186
2025;12;RO;50;178
2025;12;SE;46;178
2025;14;NL;41;170
2025;15;FI;37;167
2025;15;HU;43;167
2025;17;CZ;34;147
2025;18;BE;38;138
2025;19;SI;27;136
2025;20;DK;33;123
2025;21;HR;34;120
2025;22;SK;26;95
2025;23;EE;31;94
2025;24;IE;20;86
2025;25;LU;23;62
2025;26;LT;18;58
2025;27;LV;18;33
2025;;Total for Year;1755;6535
All Years;;Grand Total;3358;11651
