Product Name,Volume,Revenue,Order Rate,Repeat Rate,Volume_1_10,Revenue_1_10,Order_Rate_1_10,Repeat_Rate_1_10,Volume Share %,Revenue Share %
Ashwagandha Balance (60 caps),30929,433006.00,2.26,8.16,1.53,2.59,2.06,1.53,1.54,1.52
Collagen Powder 300g,161231,3869544.00,12.30,31.59,8.41,9.47,6.29,7.35,8.02,13.57
Detox Program 7 Days,149760,5241600.00,11.26,27.88,6.29,10.00,5.24,5.76,7.45,18.37
Energy Boost Liquid (10),112158,1682370.00,8.11,18.14,4.18,7.35,4.18,4.18,5.58,5.90
Hydration Electrolytes,124268,1988288.00,8.54,20.51,4.71,8.41,4.71,4.71,6.18,6.97
Immunity Booster,149895,1648845.00,13.54,31.06,6.82,6.82,8.41,6.82,7.45,5.78
Iron + Vitamin C (60 tabs),32169,305605.50,2.29,12.35,2.06,2.06,2.59,2.06,1.60,1.07
Magnesium Calm,159630,1596300.00,13.31,28.47,7.35,5.76,7.88,6.29,7.94,5.60
Multivitamin Daily,174917,1399336.00,15.42,36.17,9.47,5.24,9.47,10.00,8.70,4.91
Omega 3 Triple Action,144523,1734276.00,13.16,32.36,5.76,7.88,7.35,8.41,7.19,6.08
Prebiotic Fiber Sachets (30x10g),37890,833580.00,3.12,13.66,3.12,3.12,3.12,3.12,1.88,2.92
Protein Blend 1kg,50756,1624192.00,3.23,15.31,3.65,6.29,3.65,3.65,2.52,5.69
Sleep Support Gummies,161102,2899836.00,12.37,31.75,7.88,8.94,6.82,7.88,8.01,10.17
Vitamin B12 Energy (90 tabs),33285,216352.50,2.18,12.66,2.59,1.53,1.53,2.59,1.66,0.76
Vitamin C 1000mg,182161,1184046.50,15.85,34.17,10.00,4.71,10.00,9.47,9.06,4.15
Vitamin D3 2000IU,171761,858805.00,15.14,34.11,8.94,3.65,8.94,8.94,8.54,3.01
Zinc Immunity,134643,1009822.50,11.54,26.11,5.24,4.18,5.76,5.24,6.70,3.54
