Customer ID;Customer Name;Channel;Customer Tier;Start Month
C000001;GymMart AT Online #0001;E-commerce;S;01/11/2023 00:00
C000002;GymMart AT Online #0002;E-commerce;S;01/10/2023 00:00
C000003;WellKart AT Online #0003;E-commerce;S;01/08/2023 00:00
C000004;GymMart AT Online #0004;E-commerce;S;01/12/2023 00:00
C000005;PulseMarket AT Online #0005;E-commerce;L;01/07/2023 00:00
C000006;MediKore AT #0006;Pharmacy;M;01/09/2023 00:00
C000007;VitaCare AT #0007;Pharmacy;L;01/07/2023 00:00
C000008;CarePharm AT #0008;Pharmacy;S;01/12/2023 00:00
C000009;NutriPharm AT #0009;Pharmacy;S;01/07/2023 00:00
C000010;CarePharm AT #0010;Pharmacy;S;01/10/2023 00:00
C000011;Edekae AT #0011;Retail;L;01/12/2023 00:00
C000012;Aldii AT #0012;Retail;M;01/11/2023 00:00
C000013;Carrefouk AT #0013;Retail;S;01/11/2023 00:00
C000014;Tesko AT #0014;Retail;L;01/07/2023 00:00
C000015;Carrefouk AT #0015;Retail;S;01/08/2023 00:00
C000016;Lidll AT #0016;Retail;M;01/11/2023 00:00
C000017;Carrefouk AT #0017;Retail;L;01/10/2023 00:00
C000018;Intermarche AT #0018;Retail;M;01/10/2023 00:00
C000019;Lidll AT #0019;Retail;L;01/11/2023 00:00
C000020;Lidll AT #0020;Retail;M;01/12/2023 00:00
C000021;Auchon AT #0021;Retail;S;01/10/2023 00:00
C000022;Carrefouk AT #0022;Retail;S;01/12/2023 00:00
C000023;Tesko AT #0023;Retail;S;01/10/2023 00:00
C000024;Auchon AT #0024;Retail;L;01/10/2023 00:00
C000025;Rewee AT #0025;Retail;L;01/07/2023 00:00
C000026;Auchon AT #0026;Retail;L;01/09/2023 00:00
C000027;Lidll AT #0027;Retail;M;01/11/2023 00:00
C000028;Auchon AT #0028;Retail;L;01/07/2023 00:00
C000029;Decatlon AT #0029;Retail Sport;S;01/11/2023 00:00
C000030;Intersportt AT #0030;Retail Sport;M;01/07/2023 00:00
C000031;FitZone AT #0031;Retail Sport;L;01/07/2023 00:00
C000032;Intersportt AT #0032;Retail Sport;M;01/09/2023 00:00
C000033;FitZone AT #0033;Retail Sport;L;01/07/2023 00:00
C000034;Decatlon AT #0034;Retail Sport;L;01/12/2023 00:00
C000035;Decatlon AT #0035;Retail Sport;L;01/08/2023 00:00
C000036;WellKart BE Online #0036;E-commerce;S;01/07/2023 00:00
C000037;GymMart BE Online #0037;E-commerce;L;01/10/2023 00:00
C000038;ZenBasket BE Online #0038;E-commerce;M;01/10/2023 00:00
C000039;NutriHub BE Online #0039;E-commerce;S;01/11/2023 00:00
C000040;WellKart BE Online #0040;E-commerce;S;01/12/2023 00:00
C000041;HealthPoint BE #0041;Pharmacy;M;01/09/2023 00:00
C000042;PharmaPluz BE #0042;Pharmacy;M;01/09/2023 00:00
C000043;HealthPoint BE #0043;Pharmacy;M;01/07/2023 00:00
C000044;MediKore BE #0044;Pharmacy;M;01/07/2023 00:00
C000045;VitaCare BE #0045;Pharmacy;M;01/08/2023 00:00
C000046;Tesko BE #0046;Retail;L;01/07/2023 00:00
C000047;Carrefouk BE #0047;Retail;M;01/10/2023 00:00
C000048;Edekae BE #0048;Retail;M;01/08/2023 00:00
C000049;Rewee BE #0049;Retail;M;01/08/2023 00:00
C000050;Edekae BE #0050;Retail;L;01/11/2023 00:00
C000051;Lidll BE #0051;Retail;M;01/12/2023 00:00
C000052;Aldii BE #0052;Retail;L;01/10/2023 00:00
C000053;Sparr BE #0053;Retail;M;01/07/2023 00:00
C000054;Sparr BE #0054;Retail;M;01/10/2023 00:00
C000055;Lidll BE #0055;Retail;M;01/07/2023 00:00
C000056;Auchon BE #0056;Retail;L;01/11/2023 00:00
C000057;Auchon BE #0057;Retail;M;01/07/2023 00:00
C000058;Lidll BE #0058;Retail;L;01/08/2023 00:00
C000059;Sparr BE #0059;Retail;M;01/11/2023 00:00
C000060;Tesko BE #0060;Retail;M;01/07/2023 00:00
C000061;Aldii BE #0061;Retail;M;01/08/2023 00:00
C000062;Edekae BE #0062;Retail;L;01/09/2023 00:00
C000063;Carrefouk BE #0063;Retail;M;01/11/2023 00:00
C000064;SportDirekt BE #0064;Retail Sport;M;01/09/2023 00:00
C000065;FitZone BE #0065;Retail Sport;L;01/07/2023 00:00
C000066;Decatlon BE #0066;Retail Sport;L;01/07/2023 00:00
C000067;Decathlonn BE #0067;Retail Sport;L;01/11/2023 00:00
C000068;AthletiX BE #0068;Retail Sport;L;01/08/2023 00:00
C000069;Decatlon BE #0069;Retail Sport;L;01/11/2023 00:00
C000070;SportDirekt BE #0070;Retail Sport;M;01/09/2023 00:00
C000071;GymMart BG Online #0071;E-commerce;M;01/08/2023 00:00
C000072;GymMart BG Online #0072;E-commerce;S;01/11/2023 00:00
C000073;PulseMarket BG Online #0073;E-commerce;M;01/10/2023 00:00
C000074;PulseMarket BG Online #0074;E-commerce;S;01/12/2023 00:00
C000075;PulseMarket BG Online #0075;E-commerce;S;01/09/2023 00:00
C000076;VitaCare BG #0076;Pharmacy;L;01/11/2023 00:00
C000077;VitaCare BG #0077;Pharmacy;M;01/12/2023 00:00
C000078;VitaCare BG #0078;Pharmacy;M;01/08/2023 00:00
C000079;NutriPharm BG #0079;Pharmacy;M;01/12/2023 00:00
C000080;CarePharm BG #0080;Pharmacy;S;01/08/2023 00:00
C000081;NutriPharm BG #0081;Pharmacy;S;01/10/2023 00:00
C000082;Edekae BG #0082;Retail;L;01/11/2023 00:00
C000083;Tesko BG #0083;Retail;S;01/10/2023 00:00
C000084;Carrefouk BG #0084;Retail;L;01/07/2023 00:00
C000085;Tesko BG #0085;Retail;M;01/07/2023 00:00
C000086;Rewee BG #0086;Retail;M;01/09/2023 00:00
C000087;Lidll BG #0087;Retail;L;01/12/2023 00:00
C000088;Sparr BG #0088;Retail;L;01/09/2023 00:00
C000089;Sparr BG #0089;Retail;M;01/11/2023 00:00
C000090;Edekae BG #0090;Retail;S;01/09/2023 00:00
C000091;Rewee BG #0091;Retail;S;01/08/2023 00:00
C000092;Tesko BG #0092;Retail;L;01/08/2023 00:00
C000093;Lidll BG #0093;Retail;L;01/10/2023 00:00
C000094;ProSport BG #0094;Retail Sport;M;01/12/2023 00:00
C000095;Intersportt BG #0095;Retail Sport;M;01/11/2023 00:00
C000096;ProSport BG #0096;Retail Sport;M;01/07/2023 00:00
C000097;SportDirekt BG #0097;Retail Sport;L;01/08/2023 00:00
C000098;Decathlonn BG #0098;Retail Sport;L;01/12/2023 00:00
C000099;FitNest HR Online #0099;E-commerce;S;01/07/2023 00:00
C000100;VitaBox HR Online #0100;E-commerce;S;01/10/2023 00:00
C000101;GymMart HR Online #0101;E-commerce;S;01/08/2023 00:00
C000102;FitNest HR Online #0102;E-commerce;M;01/07/2023 00:00
C000103;PulseMarket HR Online #0103;E-commerce;M;01/09/2023 00:00
C000104;HealthPoint HR #0104;Pharmacy;L;01/11/2023 00:00
C000105;CarePharm HR #0105;Pharmacy;L;01/08/2023 00:00
C000106;PharmaPluz HR #0106;Pharmacy;S;01/09/2023 00:00
C000107;VitaCare HR #0107;Pharmacy;M;01/10/2023 00:00
C000108;HealthPoint HR #0108;Pharmacy;M;01/12/2023 00:00
C000109;NutriPharm HR #0109;Pharmacy;M;01/12/2023 00:00
C000110;Rewee HR #0110;Retail;L;01/11/2023 00:00
C000111;Aldii HR #0111;Retail;L;01/11/2023 00:00
C000112;Carrefouk HR #0112;Retail;M;01/07/2023 00:00
C000113;Edekae HR #0113;Retail;M;01/09/2023 00:00
C000114;Auchon HR #0114;Retail;M;01/07/2023 00:00
C000115;Carrefouk HR #0115;Retail;M;01/11/2023 00:00
C000116;Tesko HR #0116;Retail;M;01/10/2023 00:00
C000117;Tesko HR #0117;Retail;M;01/12/2023 00:00
C000118;Auchon HR #0118;Retail;M;01/09/2023 00:00
C000119;Aldii HR #0119;Retail;L;01/07/2023 00:00
C000120;Tesko HR #0120;Retail;L;01/10/2023 00:00
C000121;Rewee HR #0121;Retail;L;01/09/2023 00:00
C000122;AthletiX HR #0122;Retail Sport;L;01/07/2023 00:00
C000123;AthletiX HR #0123;Retail Sport;M;01/12/2023 00:00
C000124;AthletiX HR #0124;Retail Sport;M;01/08/2023 00:00
C000125;Intersportt HR #0125;Retail Sport;M;01/09/2023 00:00
C000126;SportDirekt HR #0126;Retail Sport;M;01/07/2023 00:00
C000127;GymMart CY Online #0127;E-commerce;M;01/07/2023 00:00
C000128;ZenBasket CY Online #0128;E-commerce;S;01/07/2023 00:00
C000129;GymMart CY Online #0129;E-commerce;S;01/11/2023 00:00
C000130;FitNest CY Online #0130;E-commerce;S;01/11/2023 00:00
C000131;ZenBasket CY Online #0131;E-commerce;M;01/10/2023 00:00
C000132;FitNest CY Online #0132;E-commerce;S;01/11/2023 00:00
C000133;NutriHub CY Online #0133;E-commerce;M;01/07/2023 00:00
C000134;NutriHub CY Online #0134;E-commerce;S;01/12/2023 00:00
C000135;NutriHub CY Online #0135;E-commerce;M;01/09/2023 00:00
