From DC;To Country;Channel;Max Pallet Weight kg;Fixed Cost per Pallet EUR;Variable Cost EUR per kg;Last-mile Share %;Linehaul Share %;Formula (Pallets);Formula (Total Transport Cost);Formula (Last-mile Cost);Formula (Linehaul Cost);Linehaul Leg;Last-mile Leg
BE-DC1;AT;E-commerce;200;57,08;0,072;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;AT;Pharmacy;200;54,02;0,0707;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;AT;Retail;200;50,96;0,0686;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;AT;Retail Sport;200;49,94;0,0679;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;BE;E-commerce;200;42,81;0,0576;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;BE;Pharmacy;200;40,51;0,0565;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;BE;Retail;200;38,22;0,0549;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;BE;Retail Sport;200;37,46;0,0543;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;BG;E-commerce;200;85,61;0,0875;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC1;BG;Pharmacy;200;81,03;0,0858;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
