Order ID;Line ID;Customer ID;Customer Name;Ship To ID;SKU;Product Name;Quantity;Branch/DC;Order Date;ERP Entry Date;Customer Requested Date;Promised Date;Invoice Date;G/L Date;Actual Receipt Date
O00000098;L000000260;C000189;NutriPharm DK #0189;S0000282;NW-VITD;Vitamin D3 2000IU;1;BE-DC1;01/07/2023 00:00;01/07/2023 00:00;12/07/2023 00:00;12/07/2023 00:00;05/07/2023 00:00;05/07/2023 00:00;05/07/2023 00:00
O00000071;L000000189;C000530;PrimeFuel LT Online #0530;S0000783;NW-MULTI;Multivitamin Daily;1;BE-DC1;02/07/2023 00:00;02/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;06/07/2023 00:00;06/07/2023 00:00;06/07/2023 00:00
O00008869;L000000011;C000814;PulseMarket ES Online #0814;S0001192;NW-COLL;Collagen Powder 300g;1;BE-DC2;01/07/2023 00:00;02/07/2023 00:00;08/07/2023 00:00;08/07/2023 00:00;06/07/2023 00:00;06/07/2023 00:00;06/07/2023 00:00
O00008869;L000000012;C000814;PulseMarket ES Online #0814;S0001192;NW-SLEEP;Sleep Support Gummies;1;BE-DC2;01/07/2023 00:00;02/07/2023 00:00;08/07/2023 00:00;08/07/2023 00:00;06/07/2023 00:00;06/07/2023 00:00;06/07/2023 00:00
O00008870;L000000013;C000814;PulseMarket ES Online #0814;S0001192;NW-VITD;Vitamin D3 2000IU;1;BE-DC1;01/07/2023 00:00;02/07/2023 00:00;08/07/2023 00:00;08/07/2023 00:00;06/07/2023 00:00;06/07/2023 00:00;06/07/2023 00:00
O00008870;L000000014;C000814;PulseMarket ES Online #0814;S0001192;NW-VITC;Vitamin C 1000mg;1;BE-DC1;01/07/2023 00:00;02/07/2023 00:00;08/07/2023 00:00;08/07/2023 00:00;06/07/2023 00:00;06/07/2023 00:00;06/07/2023 00:00
O00000040;L000000104;C000279;CarePharm FR #0279;S0000410;NW-VITD;Vitamin D3 2000IU;2;BE-DC1;01/07/2023 00:00;02/07/2023 00:00;09/07/2023 00:00;09/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00
O00000040;L000000105;C000279;CarePharm FR #0279;S0000410;NW-VITC;Vitamin C 1000mg;53;BE-DC1;01/07/2023 00:00;02/07/2023 00:00;09/07/2023 00:00;09/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00
O00000040;L000000106;C000279;CarePharm FR #0279;S0000410;NW-MULTI;Multivitamin Daily;29;BE-DC1;01/07/2023 00:00;02/07/2023 00:00;09/07/2023 00:00;09/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00
O00000090;L000000240;C000701;MediKore PT #0701;S0001036;NW-MULTI;Multivitamin Daily;18;BE-DC1;02/07/2023 00:00;02/07/2023 00:00;13/07/2023 00:00;13/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00
O00000090;L000000241;C000701;MediKore PT #0701;S0001036;NW-VITD;Vitamin D3 2000IU;38;BE-DC1;02/07/2023 00:00;02/07/2023 00:00;13/07/2023 00:00;13/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00
O00000105;L000000275;C000271;GymMart FR Online #0271;S0000399;NW-MULTI;Multivitamin Daily;1;BE-DC1;02/07/2023 00:00;02/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00
O00008901;L000000464;C000810;VitaBox ES Online #0810;S0001188;NW-MULTI;Multivitamin Daily;1;BE-DC1;03/07/2023 00:00;03/07/2023 00:00;11/07/2023 00:00;11/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00
O00008901;L000000466;C000810;VitaBox ES Online #0810;S0001188;NW-VITD;Vitamin D3 2000IU;1;BE-DC1;03/07/2023 00:00;03/07/2023 00:00;11/07/2023 00:00;11/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00
O00008901;L000000467;C000810;VitaBox ES Online #0810;S0001188;NW-VITC;Vitamin C 1000mg;1;BE-DC1;03/07/2023 00:00;03/07/2023 00:00;11/07/2023 00:00;11/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00
O00008902;L000000465;C000810;VitaBox ES Online #0810;S0001188;NW-SLEEP;Sleep Support Gummies;1;BE-DC2;03/07/2023 00:00;03/07/2023 00:00;11/07/2023 00:00;11/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00;07/07/2023 00:00
O00000056;L000000153;C000619;PharmaPluz NL #0619;S0000919;NW-VITC;Vitamin C 1000mg;5;BE-DC1;03/07/2023 00:00;03/07/2023 00:00;11/07/2023 00:00;11/07/2023 00:00;08/07/2023 00:00;08/07/2023 00:00;08/07/2023 00:00
O00000056;L000000154;C000619;PharmaPluz NL #0619;S0000919;NW-VITC;Vitamin C 1000mg;17;BE-DC1;03/07/2023 00:00;03/07/2023 00:00;11/07/2023 00:00;11/07/2023 00:00;08/07/2023 00:00;08/07/2023 00:00;08/07/2023 00:00
O00000056;L000000155;C000619;PharmaPluz NL #0619;S0000919;NW-VITC;Vitamin C 1000mg;4;BE-DC1;03/07/2023 00:00;03/07/2023 00:00;11/07/2023 00:00;11/07/2023 00:00;08/07/2023 00:00;08/07/2023 00:00;08/07/2023 00:00
