Ship To ID;Customer ID;Ship To Name;Country
S0000001;C000001;GymMart AT Online #0001 - Location 1;AT
S0000002;C000002;GymMart AT Online #0002 - Location 1;AT
S0000003;C000002;GymMart AT Online #0002 - Location 2;AT
S0000004;C000003;WellKart AT Online #0003 - Location 1;AT
S0000005;C000004;GymMart AT Online #0004 - Location 1;AT
S0000006;C000005;PulseMarket AT Online #0005 - Location 1;AT
S0000007;C000005;PulseMarket AT Online #0005 - Location 2;AT
S0000008;C000006;MediKore AT #0006 - Location 1;AT
S0000009;C000007;VitaCare AT #0007 - Location 1;AT
S0000010;C000007;VitaCare AT #0007 - Location 2;AT
S0000011;C000008;CarePharm AT #0008 - Location 1;AT
S0000012;C000009;NutriPharm AT #0009 - Location 1;AT
S0000013;C000010;CarePharm AT #0010 - Location 1;AT
S0000014;C000011;Edekae AT #0011 - Location 1;AT
S0000015;C000011;Edekae AT #0011 - Location 2;AT
S0000016;C000012;Aldii AT #0012 - Location 1;AT
S0000017;C000013;Carrefouk AT #0013 - Location 1;AT
S0000018;C000014;Tesko AT #0014 - Location 1;AT
S0000019;C000015;Carrefouk AT #0015 - Location 1;AT
S0000020;C000016;Lidll AT #0016 - Location 1;AT
S0000021;C000016;Lidll AT #0016 - Location 2;AT
S0000022;C000017;Carrefouk AT #0017 - Location 1;AT
S0000023;C000018;Intermarche AT #0018 - Location 1;AT
S0000024;C000018;Intermarche AT #0018 - Location 2;AT
S0000025;C000018;Intermarche AT #0018 - Location 3;AT
S0000026;C000019;Lidll AT #0019 - Location 1;AT
S0000027;C000020;Lidll AT #0020 - Location 1;AT
S0000028;C000020;Lidll AT #0020 - Location 2;AT
S0000029;C000021;Auchon AT #0021 - Location 1;AT
S0000030;C000022;Carrefouk AT #0022 - Location 1;AT
S0000031;C000023;Tesko AT #0023 - Location 1;AT
S0000032;C000024;Auchon AT #0024 - Location 1;AT
S0000033;C000024;Auchon AT #0024 - Location 2;AT
S0000034;C000024;Auchon AT #0024 - Location 3;AT
S0000035;C000025;Rewee AT #0025 - Location 1;AT
S0000036;C000026;Auchon AT #0026 - Location 1;AT
S0000037;C000027;Lidll AT #0027 - Location 1;AT
S0000038;C000028;Auchon AT #0028 - Location 1;AT
S0000039;C000029;Decatlon AT #0029 - Location 1;AT
S0000040;C000029;Decatlon AT #0029 - Location 2;AT
S0000041;C000030;Intersportt AT #0030 - Location 1;AT
S0000042;C000030;Intersportt AT #0030 - Location 2;AT
S0000043;C000031;FitZone AT #0031 - Location 1;AT
S0000044;C000031;FitZone AT #0031 - Location 2;AT
S0000045;C000031;FitZone AT #0031 - Location 3;AT
S0000046;C000032;Intersportt AT #0032 - Location 1;AT
S0000047;C000033;FitZone AT #0033 - Location 1;AT
S0000048;C000033;FitZone AT #0033 - Location 2;AT
S0000049;C000034;Decatlon AT #0034 - Location 1;AT
S0000050;C000034;Decatlon AT #0034 - Location 2;AT
S0000051;C000035;Decatlon AT #0035 - Location 1;AT
S0000052;C000035;Decatlon AT #0035 - Location 2;AT
S0000053;C000035;Decatlon AT #0035 - Location 3;AT
S0000054;C000036;WellKart BE Online #0036 - Location 1;BE
S0000055;C000036;WellKart BE Online #0036 - Location 2;BE
S0000056;C000037;GymMart BE Online #0037 - Location 1;BE
S0000057;C000038;ZenBasket BE Online #0038 - Location 1;BE
S0000058;C000039;NutriHub BE Online #0039 - Location 1;BE
S0000059;C000040;WellKart BE Online #0040 - Location 1;BE
S0000060;C000040;WellKart BE Online #0040 - Location 2;BE
S0000061;C000041;HealthPoint BE #0041 - Location 1;BE
S0000062;C000042;PharmaPluz BE #0042 - Location 1;BE
S0000063;C000043;HealthPoint BE #0043 - Location 1;BE
S0000064;C000044;MediKore BE #0044 - Location 1;BE
S0000065;C000044;MediKore BE #0044 - Location 2;BE
S0000066;C000045;VitaCare BE #0045 - Location 1;BE
S0000067;C000045;VitaCare BE #0045 - Location 2;BE
S0000068;C000046;Tesko BE #0046 - Location 1;BE
S0000069;C000046;Tesko BE #0046 - Location 2;BE
S0000070;C000047;Carrefouk BE #0047 - Location 1;BE
S0000071;C000047;Carrefouk BE #0047 - Location 2;BE
S0000072;C000048;Edekae BE #0048 - Location 1;BE
S0000073;C000049;Rewee BE #0049 - Location 1;BE
S0000074;C000050;Edekae BE #0050 - Location 1;BE
S0000075;C000051;Lidll BE #0051 - Location 1;BE
S0000076;C000052;Aldii BE #0052 - Location 1;BE
S0000077;C000053;Sparr BE #0053 - Location 1;BE
S0000078;C000054;Sparr BE #0054 - Location 1;BE
S0000079;C000055;Lidll BE #0055 - Location 1;BE
S0000080;C000055;Lidll BE #0055 - Location 2;BE
S0000081;C000056;Auchon BE #0056 - Location 1;BE
S0000082;C000057;Auchon BE #0057 - Location 1;BE
S0000083;C000057;Auchon BE #0057 - Location 2;BE
S0000084;C000058;Lidll BE #0058 - Location 1;BE
S0000085;C000058;Lidll BE #0058 - Location 2;BE
S0000086;C000059;Sparr BE #0059 - Location 1;BE
S0000087;C000059;Sparr BE #0059 - Location 2;BE
S0000088;C000059;Sparr BE #0059 - Location 3;BE
S0000089;C000060;Tesko BE #0060 - Location 1;BE
S0000090;C000061;Aldii BE #0061 - Location 1;BE
S0000091;C000061;Aldii BE #0061 - Location 2;BE
S0000092;C000061;Aldii BE #0061 - Location 3;BE
S0000093;C000062;Edekae BE #0062 - Location 1;BE
S0000094;C000063;Carrefouk BE #0063 - Location 1;BE
S0000095;C000064;SportDirekt BE #0064 - Location 1;BE
S0000096;C000065;FitZone BE #0065 - Location 1;BE
S0000097;C000065;FitZone BE #0065 - Location 2;BE
S0000098;C000065;FitZone BE #0065 - Location 3;BE
S0000099;C000066;Decatlon BE #0066 - Location 1;BE
S0000100;C000067;Decathlonn BE #0067 - Location 1;BE
S0000101;C000068;AthletiX BE #0068 - Location 1;BE
S0000102;C000069;Decatlon BE #0069 - Location 1;BE
S0000103;C000070;SportDirekt BE #0070 - Location 1;BE
S0000104;C000070;SportDirekt BE #0070 - Location 2;BE
S0000105;C000070;SportDirekt BE #0070 - Location 3;BE
S0000106;C000071;GymMart BG Online #0071 - Location 1;BG
S0000107;C000071;GymMart BG Online #0071 - Location 2;BG
S0000108;C000071;GymMart BG Online #0071 - Location 3;BG
S0000109;C000072;GymMart BG Online #0072 - Location 1;BG
S0000110;C000073;PulseMarket BG Online #0073 - Location 1;BG
S0000111;C000074;PulseMarket BG Online #0074 - Location 1;BG
S0000112;C000075;PulseMarket BG Online #0075 - Location 1;BG
S0000113;C000075;PulseMarket BG Online #0075 - Location 2;BG
S0000114;C000075;PulseMarket BG Online #0075 - Location 3;BG
S0000115;C000076;VitaCare BG #0076 - Location 1;BG
S0000116;C000076;VitaCare BG #0076 - Location 2;BG
S0000117;C000076;VitaCare BG #0076 - Location 3;BG
S0000118;C000077;VitaCare BG #0077 - Location 1;BG
S0000119;C000078;VitaCare BG #0078 - Location 1;BG
S0000120;C000078;VitaCare BG #0078 - Location 2;BG
S0000121;C000079;NutriPharm BG #0079 - Location 1;BG
S0000122;C000080;CarePharm BG #0080 - Location 1;BG
S0000123;C000080;CarePharm BG #0080 - Location 2;BG
S0000124;C000081;NutriPharm BG #0081 - Location 1;BG
S0000125;C000081;NutriPharm BG #0081 - Location 2;BG
S0000126;C000082;Edekae BG #0082 - Location 1;BG
S0000127;C000083;Tesko BG #0083 - Location 1;BG
S0000128;C000083;Tesko BG #0083 - Location 2;BG
S0000129;C000083;Tesko BG #0083 - Location 3;BG
S0000130;C000084;Carrefouk BG #0084 - Location 1;BG
S0000131;C000085;Tesko BG #0085 - Location 1;BG
S0000132;C000085;Tesko BG #0085 - Location 2;BG
S0000133;C000085;Tesko BG #0085 - Location 3;BG
S0000134;C000086;Rewee BG #0086 - Location 1;BG
S0000135;C000087;Lidll BG #0087 - Location 1;BG
S0000136;C000088;Sparr BG #0088 - Location 1;BG
S0000137;C000088;Sparr BG #0088 - Location 2;BG
S0000138;C000088;Sparr BG #0088 - Location 3;BG
S0000139;C000089;Sparr BG #0089 - Location 1;BG
S0000140;C000090;Edekae BG #0090 - Location 1;BG
S0000141;C000090;Edekae BG #0090 - Location 2;BG
S0000142;C000091;Rewee BG #0091 - Location 1;BG
S0000143;C000091;Rewee BG #0091 - Location 2;BG
S0000144;C000091;Rewee BG #0091 - Location 3;BG
S0000145;C000092;Tesko BG #0092 - Location 1;BG
S0000146;C000092;Tesko BG #0092 - Location 2;BG
S0000147;C000092;Tesko BG #0092 - Location 3;BG
S0000148;C000093;Lidll BG #0093 - Location 1;BG
S0000149;C000094;ProSport BG #0094 - Location 1;BG
S0000150;C000094;ProSport BG #0094 - Location 2;BG
S0000151;C000094;ProSport BG #0094 - Location 3;BG
S0000152;C000095;Intersportt BG #0095 - Location 1;BG
S0000153;C000095;Intersportt BG #0095 - Location 2;BG
S0000154;C000096;ProSport BG #0096 - Location 1;BG
S0000155;C000097;SportDirekt BG #0097 - Location 1;BG
S0000156;C000098;Decathlonn BG #0098 - Location 1;BG
S0000157;C000098;Decathlonn BG #0098 - Location 2;BG
S0000158;C000099;FitNest HR Online #0099 - Location 1;HR
S0000159;C000100;VitaBox HR Online #0100 - Location 1;HR
S0000160;C000101;GymMart HR Online #0101 - Location 1;HR
S0000161;C000102;FitNest HR Online #0102 - Location 1;HR
S0000162;C000103;PulseMarket HR Online #0103 - Location 1;HR
S0000163;C000104;HealthPoint HR #0104 - Location 1;HR
