Customer ID;Customer Name;Channel;Customer Tier
LC000001;FitNest AT Online #0001;E-commerce;S
LC000002;VitaBox AT Online #0002;E-commerce;M
LC000003;VitaBox AT Online #0003;E-commerce;S
LC000004;PulseMarket AT Online #0004;E-commerce;S
LC000005;VitaBox AT Online #0005;E-commerce;S
LC000006;FitNest AT Online #0006;E-commerce;S
LC000007;CarePharm AT #0007;Pharmacy;S
LC000008;EuroPharmx AT #0008;Pharmacy;M
LC000009;EuroPharmx AT #0009;Pharmacy;L
LC000010;Carrefouk AT #0010;Retail;L
LC000011;Carrefouk AT #0011;Retail;M
LC000012;Aldii AT #0012;Retail;M
LC000013;FitZone AT #0013;Retail Sport;L
LC000014;Intersportt AT #0014;Retail Sport;M
LC000015;Decatlon AT #0015;Retail Sport;M
LC000016;Decathlonn AT #0016;Retail Sport;M
LC000017;Decathlonn AT #0017;Retail Sport;M
LC000018;Decathlonn AT #0018;Retail Sport;L
LC000019;ProSport AT #0019;Retail Sport;L
LC000020;Decatlon AT #0020;Retail Sport;M
LC000021;Intersportt AT #0021;Retail Sport;M
LC000022;VitaBox BE Online #0022;E-commerce;M
LC000023;PrimeFuel BE Online #0023;E-commerce;M
LC000024;VitaBox BE Online #0024;E-commerce;M
LC000025;GymMart BE Online #0025;E-commerce;M
LC000026;PulseMarket BE Online #0026;E-commerce;M
LC000027;PrimeFuel BE Online #0027;E-commerce;S
LC000028;CarePharm BE #0028;Pharmacy;S
LC000029;NutriPharm BE #0029;Pharmacy;S
LC000030;VitaCare BE #0030;Pharmacy;L
LC000031;Carrefouk BE #0031;Retail;L
LC000032;Tesko BE #0032;Retail;M
LC000033;Rewee BE #0033;Retail;L
LC000034;Decatlon BE #0034;Retail Sport;L
LC000035;Decatlon BE #0035;Retail Sport;L
LC000036;Decatlon BE #0036;Retail Sport;S
LC000037;Intersportt BE #0037;Retail Sport;L
LC000038;Decathlonn BE #0038;Retail Sport;M
LC000039;FitZone BE #0039;Retail Sport;M
LC000040;ProSport BE #0040;Retail Sport;L
LC000041;SportDirekt BE #0041;Retail Sport;L
LC000042;Intersportt BE #0042;Retail Sport;M
LC000043;VitaBox BG Online #0043;E-commerce;M
LC000044;FitNest BG Online #0044;E-commerce;S
LC000045;FitNest BG Online #0045;E-commerce;L
LC000046;GymMart BG Online #0046;E-commerce;S
LC000047;CarePharm BG #0047;Pharmacy;M
LC000048;EuroPharmx BG #0048;Pharmacy;L
LC000049;Carrefouk BG #0049;Retail;L
LC000050;Tesko BG #0050;Retail;M
LC000051;Decathlonn BG #0051;Retail Sport;L
LC000052;ProSport BG #0052;Retail Sport;S
LC000053;ProSport BG #0053;Retail Sport;M
LC000054;FitZone BG #0054;Retail Sport;S
LC000055;ProSport BG #0055;Retail Sport;S
LC000056;Decatlon BG #0056;Retail Sport;L
LC000057;GymMart CY Online #0057;E-commerce;M
LC000058;PrimeFuel CY Online #0058;E-commerce;L
LC000059;VitaBox CY Online #0059;E-commerce;S
LC000060;PrimeFuel CY Online #0060;E-commerce;M
LC000061;CarePharm CY #0061;Pharmacy;M
LC000062;EuroPharmx CY #0062;Pharmacy;M
LC000063;Aldii CY #0063;Retail;M
LC000064;Tesko CY #0064;Retail;L
LC000065;FitZone CY #0065;Retail Sport;L
LC000066;Intersportt CY #0066;Retail Sport;M
LC000067;SportDirekt CY #0067;Retail Sport;L
LC000068;SportDirekt CY #0068;Retail Sport;M
LC000069;Intersportt CY #0069;Retail Sport;S
LC000070;FitZone CY #0070;Retail Sport;S
LC000071;VitaBox CZ Online #0071;E-commerce;S
LC000072;PulseMarket CZ Online #0072;E-commerce;S
LC000073;VitaBox CZ Online #0073;E-commerce;M
LC000074;VitaBox CZ Online #0074;E-commerce;S
LC000075;VitaCare CZ #0075;Pharmacy;S
LC000076;NutriPharm CZ #0076;Pharmacy;M
LC000077;Carrefouk CZ #0077;Retail;S
LC000078;Tesko CZ #0078;Retail;M
LC000079;ProSport CZ #0079;Retail Sport;L
LC000080;ProSport CZ #0080;Retail Sport;S
LC000081;Intersportt CZ #0081;Retail Sport;L
LC000082;Decatlon CZ #0082;Retail Sport;M
LC000083;Intersportt CZ #0083;Retail Sport;M
LC000084;Decatlon CZ #0084;Retail Sport;L
LC000085;PrimeFuel DE Online #0085;E-commerce;S
LC000086;PrimeFuel DE Online #0086;E-commerce;L
LC000087;PrimeFuel DE Online #0087;E-commerce;M
LC000088;FitNest DE Online #0088;E-commerce;L
LC000089;PrimeFuel DE Online #0089;E-commerce;S
LC000090;PrimeFuel DE Online #0090;E-commerce;S
LC000091;PulseMarket DE Online #0091;E-commerce;L
LC000092;PrimeFuel DE Online #0092;E-commerce;S
LC000093;PrimeFuel DE Online #0093;E-commerce;S
LC000094;GymMart DE Online #0094;E-commerce;S
LC000095;EuroPharmx DE #0095;Pharmacy;L
LC000096;EuroPharmx DE #0096;Pharmacy;M
LC000097;VitaCare DE #0097;Pharmacy;M
LC000098;VitaCare DE #0098;Pharmacy;S
LC000099;VitaCare DE #0099;Pharmacy;L
LC000100;Auchon DE #0100;Retail;M
LC000101;Aldii DE #0101;Retail;M
LC000102;Tesko DE #0102;Retail;M
LC000103;Carrefouk DE #0103;Retail;L
LC000104;Tesko DE #0104;Retail;S
LC000105;Decatlon DE #0105;Retail Sport;M
LC000106;Decathlonn DE #0106;Retail Sport;L
LC000107;Intersportt DE #0107;Retail Sport;S
LC000108;SportDirekt DE #0108;Retail Sport;L
LC000109;Decathlonn DE #0109;Retail Sport;L
LC000110;ProSport DE #0110;Retail Sport;M
LC000111;Decatlon DE #0111;Retail Sport;M
LC000112;ProSport DE #0112;Retail Sport;M
LC000113;FitZone DE #0113;Retail Sport;S
LC000114;ProSport DE #0114;Retail Sport;L
LC000115;Decathlonn DE #0115;Retail Sport;M
LC000116;Intersportt DE #0116;Retail Sport;L
LC000117;Decathlonn DE #0117;Retail Sport;M
LC000118;ProSport DE #0118;Retail Sport;M
LC000119;FitZone DE #0119;Retail Sport;L
LC000120;GymMart DK Online #0120;E-commerce;S
LC000121;PulseMarket DK Online #0121;E-commerce;M
LC000122;VitaBox DK Online #0122;E-commerce;S
LC000123;PrimeFuel DK Online #0123;E-commerce;S
LC000124;CarePharm DK #0124;Pharmacy;L
LC000125;EuroPharmx DK #0125;Pharmacy;L
LC000126;Tesko DK #0126;Retail;L
LC000127;Tesko DK #0127;Retail;L
LC000128;FitZone DK #0128;Retail Sport;L
LC000129;Decatlon DK #0129;Retail Sport;L
LC000130;Intersportt DK #0130;Retail Sport;L
LC000131;Intersportt DK #0131;Retail Sport;L
LC000132;ProSport DK #0132;Retail Sport;L
LC000133;Intersportt DK #0133;Retail Sport;M
LC000134;GymMart EE Online #0134;E-commerce;S
LC000135;PulseMarket EE Online #0135;E-commerce;M
LC000136;GymMart EE Online #0136;E-commerce;M
LC000137;PulseMarket EE Online #0137;E-commerce;S
LC000138;VitaCare EE #0138;Pharmacy;S
LC000139;NutriPharm EE #0139;Pharmacy;M
LC000140;Lidll EE #0140;Retail;M
LC000141;Tesko EE #0141;Retail;L
