Order ID;Line ID;Customer ID;Customer Name;Ship To ID;SKU;Product Name;Quantity;Branch/DC;Order Date;ERP Entry Date;Customer Requested Date;Promised Date;Invoice Date;G/L Date;Actual Receipt Date
LAO240000016;LAL000000022;LC000435;Intersportt PT #0435;LS0000543;SP-BCAA;BCAA Recovery 300g;21;ACQ-DC1;2024-03-02 00:00:00;2024-03-02 00:00:00;2024-03-11 00:00:00;2024-03-11 00:00:00;2024-03-03 00:00:00;2024-03-03 00:00:00;2024-03-09 00:00:00
LAO240000063;LAL000000099;LC000362;Decathlonn LV #0362;LS0000457;SP-WHEY;Whey Protein Premium 1kg;35;ACQ-DC1;2024-03-02 00:00:00;2024-03-02 00:00:00;2024-03-13 00:00:00;2024-03-13 00:00:00;2024-03-03 00:00:00;2024-03-03 00:00:00;2024-03-13 00:00:00
LAO240000063;LAL000000100;LC000362;Decathlonn LV #0362;LS0000457;SP-ISO;Isotonic Drink Mix 600g;38;ACQ-DC1;2024-03-02 00:00:00;2024-03-02 00:00:00;2024-03-13 00:00:00;2024-03-13 00:00:00;2024-03-03 00:00:00;2024-03-03 00:00:00;2024-03-13 00:00:00
LAO240000063;LAL000000101;LC000362;Decathlonn LV #0362;LS0000457;SP-WHEY2;Whey Protein Premium 2kg;40;ACQ-DC1;2024-03-02 00:00:00;2024-03-02 00:00:00;2024-03-13 00:00:00;2024-03-13 00:00:00;2024-03-03 00:00:00;2024-03-03 00:00:00;2024-03-13 00:00:00
LAO240000066;LAL000000106;LC000193;ProSport FI #0193;LS0000241;SP-GAIN;Mass Gainer 2kg;30;ACQ-DC2;2024-03-01 00:00:00;2024-03-02 00:00:00;2024-03-07 00:00:00;2024-03-07 00:00:00;2024-03-04 00:00:00;2024-03-04 00:00:00;2024-03-05 00:00:00
LAO240000098;LAL000000152;LC000504;ProSport SK #0504;LS0000632;SP-ISO;Isotonic Drink Mix 600g;35;ACQ-DC1;2024-03-03 00:00:00;2024-03-03 00:00:00;2024-03-11 00:00:00;2024-03-11 00:00:00;2024-03-04 00:00:00;2024-03-04 00:00:00;2024-03-17 00:00:00
LAO240000098;LAL000000153;LC000504;ProSport SK #0504;LS0000632;SP-GAIN;Mass Gainer 2kg;31;ACQ-DC1;2024-03-03 00:00:00;2024-03-03 00:00:00;2024-03-11 00:00:00;2024-03-11 00:00:00;2024-03-04 00:00:00;2024-03-04 00:00:00;2024-03-17 00:00:00
LAO240000017;LAL000000023;LC000065;FitZone CY #0065;LS0000080;SP-BAR;Protein Bar Box (12);32;ACQ-DC1;2024-03-04 00:00:00;2024-03-04 00:00:00;2024-03-18 00:00:00;2024-03-18 00:00:00;2024-03-05 00:00:00;2024-03-05 00:00:00;2024-03-18 00:00:00
LAO240000026;LAL000000035;LC000280;Carrefouk IE #0280;LS0000357;SP-ISO;Isotonic Drink Mix 600g;19;ACQ-DC1;2024-03-05 00:00:00;2024-03-05 00:00:00;2024-03-13 00:00:00;2024-03-13 00:00:00;2024-03-06 00:00:00;2024-03-06 00:00:00;2024-03-11 00:00:00
LAO240000026;LAL000000036;LC000280;Carrefouk IE #0280;LS0000357;SP-CREA;Creatine Monohydrate 300g;11;ACQ-DC1;2024-03-05 00:00:00;2024-03-05 00:00:00;2024-03-13 00:00:00;2024-03-13 00:00:00;2024-03-06 00:00:00;2024-03-06 00:00:00;2024-03-11 00:00:00
LAO240000036;LAL000000055;LC000261;FitNest HU Online #0261;LS0000331;SP-BAR;Protein Bar Box (12);1;ACQ-DC1;2024-03-03 00:00:00;2024-03-04 00:00:00;2024-03-13 00:00:00;2024-03-13 00:00:00;2024-03-06 00:00:00;2024-03-06 00:00:00;2024-03-13 00:00:00
LAO240000044;LAL000000069;LC000195;Decathlonn FI #0195;LS0000245;SP-BAR;Protein Bar Box (12);20;ACQ-DC2;2024-03-03 00:00:00;2024-03-05 00:00:00;2024-03-11 00:00:00;2024-03-11 00:00:00;2024-03-06 00:00:00;2024-03-06 00:00:00;2024-03-11 00:00:00
LAO240000064;LAL000000102;LC000041;SportDirekt BE #0041;LS0000051;SP-ISO;Isotonic Drink Mix 600g;34;ACQ-DC1;2024-03-03 00:00:00;2024-03-03 00:00:00;2024-03-13 00:00:00;2024-03-13 00:00:00;2024-03-06 00:00:00;2024-03-06 00:00:00;2024-03-12 00:00:00
