Ship To ID;Customer ID;Ship To Name;Country
LS0000001;LC000001;FitNest AT Online #0001 - Location 1;AT
LS0000002;LC000002;VitaBox AT Online #0002 - Location 1;AT
LS0000003;LC000003;VitaBox AT Online #0003 - Location 1;AT
LS0000004;LC000004;PulseMarket AT Online #0004 - Location 1;AT
LS0000005;LC000005;VitaBox AT Online #0005 - Location 1;AT
LS0000006;LC000006;FitNest AT Online #0006 - Location 1;AT
LS0000007;LC000006;FitNest AT Online #0006 - Location 2;AT
LS0000008;LC000007;CarePharm AT #0007 - Location 1;AT
LS0000009;LC000008;EuroPharmx AT #0008 - Location 1;AT
LS0000010;LC000008;EuroPharmx AT #0008 - Location 2;AT
LS0000011;LC000009;EuroPharmx AT #0009 - Location 1;AT
LS0000012;LC000009;EuroPharmx AT #0009 - Location 2;AT
LS0000013;LC000010;Carrefouk AT #0010 - Location 1;AT
LS0000014;LC000011;Carrefouk AT #0011 - Location 1;AT
LS0000015;LC000012;Aldii AT #0012 - Location 1;AT
LS0000016;LC000012;Aldii AT #0012 - Location 2;AT
LS0000017;LC000013;FitZone AT #0013 - Location 1;AT
LS0000018;LC000013;FitZone AT #0013 - Location 2;AT
LS0000019;LC000014;Intersportt AT #0014 - Location 1;AT
LS0000020;LC000015;Decatlon AT #0015 - Location 1;AT
LS0000021;LC000016;Decathlonn AT #0016 - Location 1;AT
LS0000022;LC000017;Decathlonn AT #0017 - Location 1;AT
LS0000023;LC000018;Decathlonn AT #0018 - Location 1;AT
LS0000024;LC000019;ProSport AT #0019 - Location 1;AT
LS0000025;LC000020;Decatlon AT #0020 - Location 1;AT
LS0000026;LC000021;Intersportt AT #0021 - Location 1;AT
LS0000027;LC000022;VitaBox BE Online #0022 - Location 1;BE
LS0000028;LC000023;PrimeFuel BE Online #0023 - Location 1;BE
LS0000029;LC000024;VitaBox BE Online #0024 - Location 1;BE
LS0000030;LC000024;VitaBox BE Online #0024 - Location 2;BE
LS0000031;LC000025;GymMart BE Online #0025 - Location 1;BE
LS0000032;LC000025;GymMart BE Online #0025 - Location 2;BE
LS0000033;LC000026;PulseMarket BE Online #0026 - Location 1;BE
LS0000034;LC000027;PrimeFuel BE Online #0027 - Location 1;BE
LS0000035;LC000027;PrimeFuel BE Online #0027 - Location 2;BE
LS0000036;LC000028;CarePharm BE #0028 - Location 1;BE
LS0000037;LC000029;NutriPharm BE #0029 - Location 1;BE
LS0000038;LC000030;VitaCare BE #0030 - Location 1;BE
LS0000039;LC000031;Carrefouk BE #0031 - Location 1;BE
LS0000040;LC000031;Carrefouk BE #0031 - Location 2;BE
LS0000041;LC000032;Tesko BE #0032 - Location 1;BE
LS0000042;LC000033;Rewee BE #0033 - Location 1;BE
LS0000043;LC000034;Decatlon BE #0034 - Location 1;BE
LS0000044;LC000035;Decatlon BE #0035 - Location 1;BE
LS0000045;LC000036;Decatlon BE #0036 - Location 1;BE
LS0000046;LC000037;Intersportt BE #0037 - Location 1;BE
LS0000047;LC000038;Decathlonn BE #0038 - Location 1;BE
LS0000048;LC000039;FitZone BE #0039 - Location 1;BE
LS0000049;LC000039;FitZone BE #0039 - Location 2;BE
LS0000050;LC000040;ProSport BE #0040 - Location 1;BE
LS0000051;LC000041;SportDirekt BE #0041 - Location 1;BE
LS0000052;LC000042;Intersportt BE #0042 - Location 1;BE
LS0000053;LC000043;VitaBox BG Online #0043 - Location 1;BG
LS0000054;LC000044;FitNest BG Online #0044 - Location 1;BG
LS0000055;LC000045;FitNest BG Online #0045 - Location 1;BG
LS0000056;LC000046;GymMart BG Online #0046 - Location 1;BG
LS0000057;LC000046;GymMart BG Online #0046 - Location 2;BG
LS0000058;LC000047;CarePharm BG #0047 - Location 1;BG
LS0000059;LC000048;EuroPharmx BG #0048 - Location 1;BG
LS0000060;LC000049;Carrefouk BG #0049 - Location 1;BG
LS0000061;LC000050;Tesko BG #0050 - Location 1;BG
LS0000062;LC000051;Decathlonn BG #0051 - Location 1;BG
LS0000063;LC000051;Decathlonn BG #0051 - Location 2;BG
LS0000064;LC000052;ProSport BG #0052 - Location 1;BG
LS0000065;LC000053;ProSport BG #0053 - Location 1;BG
LS0000066;LC000054;FitZone BG #0054 - Location 1;BG
LS0000067;LC000055;ProSport BG #0055 - Location 1;BG
LS0000068;LC000056;Decatlon BG #0056 - Location 1;BG
LS0000069;LC000056;Decatlon BG #0056 - Location 2;BG
LS0000070;LC000057;GymMart CY Online #0057 - Location 1;CY
LS0000071;LC000058;PrimeFuel CY Online #0058 - Location 1;CY
LS0000072;LC000059;VitaBox CY Online #0059 - Location 1;CY
LS0000073;LC000060;PrimeFuel CY Online #0060 - Location 1;CY
LS0000074;LC000061;CarePharm CY #0061 - Location 1;CY
LS0000075;LC000062;EuroPharmx CY #0062 - Location 1;CY
LS0000076;LC000062;EuroPharmx CY #0062 - Location 2;CY
LS0000077;LC000063;Aldii CY #0063 - Location 1;CY
LS0000078;LC000064;Tesko CY #0064 - Location 1;CY
LS0000079;LC000064;Tesko CY #0064 - Location 2;CY
LS0000080;LC000065;FitZone CY #0065 - Location 1;CY
