PO ID;PO Date;Month;SKU;Purchase Multiple (units);Quantity Purchased (units);Unit Cost EUR;Total Cost EUR;Production Site;Destination DC;Goods Receipt Date
PO-202307-00001;01/07/2023 00:00;2023-07;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;15/07/2023 00:00
PO-202307-00002;01/07/2023 00:00;2023-07;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;18/07/2023 00:00
PO-202307-00003;01/07/2023 00:00;2023-07;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;21/07/2023 00:00
PO-202307-00004;01/07/2023 00:00;2023-07;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;17/07/2023 00:00
PO-202307-00005;01/07/2023 00:00;2023-07;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;22/07/2023 00:00
PO-202307-00006;01/07/2023 00:00;2023-07;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/07/2023 00:00
PO-202307-00007;01/07/2023 00:00;2023-07;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;22/07/2023 00:00
PO-202307-00008;01/07/2023 00:00;2023-07;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;20/07/2023 00:00
PO-202307-00009;01/07/2023 00:00;2023-07;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;23/07/2023 00:00
PO-202307-00010;01/07/2023 00:00;2023-07;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;16/07/2023 00:00
PO-202307-00011;01/07/2023 00:00;2023-07;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;13/07/2023 00:00
PO-202307-00012;01/07/2023 00:00;2023-07;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;17/07/2023 00:00
PO-202307-00013;01/07/2023 00:00;2023-07;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;20/07/2023 00:00
PO-202307-00014;01/07/2023 00:00;2023-07;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;17/07/2023 00:00
PO-202307-00015;01/07/2023 00:00;2023-07;NW-VITC;1000;14000;2,47;34580;PL-01;BE-DC1;20/07/2023 00:00
PO-202307-00016;01/07/2023 00:00;2023-07;NW-VITD;1000;11000;1,8;19800;PL-01;BE-DC1;15/07/2023 00:00
PO-202307-00017;01/07/2023 00:00;2023-07;NW-ZINC;1000;12000;2,85;34200;PL-01;BE-DC1;13/07/2023 00:00
PO-202308-00018;01/08/2023 00:00;2023-08;NW-9010;500;6500;10,88;70720;IT-04;BE-DC2;17/08/2023 00:00
PO-202308-00019;01/08/2023 00:00;2023-08;NW-9011;1000;6000;5,04;30240;DE-02;BE-DC1;19/08/2023 00:00
PO-202308-00020;01/08/2023 00:00;2023-08;NW-9012;1000;5000;2,47;12350;PL-01;BE-DC1;21/08/2023 00:00
PO-202308-00021;01/08/2023 00:00;2023-08;NW-9013;1000;6000;3,52;21120;PL-01;BE-DC1;19/08/2023 00:00
PO-202308-00022;01/08/2023 00:00;2023-08;NW-9014;500;4500;7,04;31680;FR-03;BE-DC2;23/08/2023 00:00
PO-202308-00023;01/08/2023 00:00;2023-08;NW-COLL;500;11500;6,96;80040;IT-04;BE-DC2;16/08/2023 00:00
PO-202308-00024;01/08/2023 00:00;2023-08;NW-DETOX;500;11000;10,15;111650;IT-04;BE-DC2;24/08/2023 00:00
PO-202308-00025;01/08/2023 00:00;2023-08;NW-ENERGY;500;9500;4,5;42750;ES-05;BE-DC2;22/08/2023 00:00
PO-202308-00026;01/08/2023 00:00;2023-08;NW-HYDR;500;17500;5,12;89600;IT-04;BE-DC2;22/08/2023 00:00
PO-202308-00027;01/08/2023 00:00;2023-08;NW-IMMUNO;1000;14000;3,96;55440;PL-01;BE-DC1;17/08/2023 00:00
PO-202308-00028;01/08/2023 00:00;2023-08;NW-MAG;1000;14000;3,5;49000;PL-01;BE-DC1;14/08/2023 00:00
PO-202308-00029;01/08/2023 00:00;2023-08;NW-MULTI;1000;15000;2,96;44400;PL-01;BE-DC1;15/08/2023 00:00
PO-202308-00030;01/08/2023 00:00;2023-08;NW-OMEGA;1000;10000;4,8;48000;DE-02;BE-DC1;19/08/2023 00:00
PO-202308-00031;01/08/2023 00:00;2023-08;NW-SLEEP;500;11000;5,94;65340;FR-03;BE-DC2;18/08/2023 00:00
